Rank,Article Number,Article Title,1st Author Name,Volume Number,Issue Number,Content Type,Online Publish Year,Print Publish Year,Open Access,DOI,PDF Downloads,HTML Views,Total Usage,Paper Citations To Date,Patent Citations To Date,Total Citations To Date,Author Keywords,IEEE Thesaurus Terms,URL
756,8481487,A Centralized Routing Protocol With a Scheduled Mobile Sink-Based AI for Large Scale I-IoT,Thair. A. Al-Janabi,18,24,orig-research,2018,2018,N,10.1109/JSEN.2018.2873681,789,521,1310,31,0,31,,Artificial intelligence;Cloud computing;Routing;Routing protocols;Sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8481487
758,8883292,A 10-kS/s 625-Hz-Bandwidth 65-dB SNDR Second-Order Noise-Shaping SAR ADC for Biomedical Sensor Applications,Jin Hu,20,23,orig-research,2019,2020,N,10.1109/JSEN.2019.2949641,828,479,1307,12,0,12,,Analog-digital conversion;Biosensors;Capacitors;IIR filters;Noise shaping;Power demand,https://ieeexplore.ieee.org/document/8883292
758,8449314,Smart Soil Parameters Estimation System Using an Autonomous Wireless Sensor Network With Dynamic Power Management Strategy,Johan J. Estrada-L�pez,18,21,orig-research,2018,2018,N,10.1109/JSEN.2018.2867432,716,591,1307,58,0,58,,Agriculture;Power system management;Soil;Temperature measurement;Temperature sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8449314
758,9455358,A Data-Driven Inertial Navigation/Bluetooth Fusion Algorithm for Indoor Localization,Jianfan Chen,22,6,orig-research,2021,2022,N,10.1109/JSEN.2021.3089516,751,556,1307,20,0,20,,Bluetooth;Estimation;Inertial navigation;Kalman filters;Location awareness;Sensors;Smart phones,https://ieeexplore.ieee.org/document/9455358
759,8325465,Terahertz Sensing in a Hollow Core Photonic Crystal Fiber,Md. Saiful Islam,18,10,orig-research,2018,2018,N,10.1109/JSEN.2018.2819165,699,607,1306,104,0,104,,Chemical sensors;Chemicals;Ethanol;Fabrication;Optical sensors;Sensitivity,https://ieeexplore.ieee.org/document/8325465
760,8466894,Phonocardiographic Sensing Using Deep Learning for Abnormal Heartbeat Detection,Siddique Latif,18,22,orig-research,2018,2018,N,10.1109/JSEN.2018.2870759,667,638,1305,87,0,87,,Computer architecture;Heart beat;Logic gates;Logistics;Phonocardiography;Recurrent neural networks,https://ieeexplore.ieee.org/document/8466894
761,8607055,MEMS Thermal Flow Sensors? An Accuracy Investigation,Ethan L. W. Gardner,19,8,orig-research,2019,2019,N,10.1109/JSEN.2019.2891596,679,625,1304,20,0,20,,Heat transfer;Heating systems;Resistors;Sensor phenomena and characterization;Temperature measurement;Thermal sensors,https://ieeexplore.ieee.org/document/8607055
762,9276431,A Graph-Based Track-Before-Detect Algorithm for Automotive Radar Target Detection,Yuhao Chen,21,5,orig-research,2020,2021,N,10.1109/JSEN.2020.3042079,712,591,1303,11,0,11,,Object detection;Radar;Radar cross-sections;Radar detection;Radar tracking;Sensors;Target tracking,https://ieeexplore.ieee.org/document/9276431
762,8281089,A Novel Finger Kinematic Tracking Method Based on Skin-Like Wearable Strain Sensors,Shanshan Yao,18,7,orig-research,2018,2018,N,10.1109/JSEN.2018.2802421,614,689,1303,28,0,28,,Capacitive sensors;Skin;Strain;Thumb;Tracking,https://ieeexplore.ieee.org/document/8281089
764,8656565,Data Fusion of Dual Foot-Mounted IMU for Pedestrian Navigation,Xiaoji Niu,19,12,orig-research,2019,2019,N,10.1109/JSEN.2019.2902422,729,572,1301,46,0,46,,Detectors;Foot;Global navigation satellite system;Inertial navigation;Sensor systems,https://ieeexplore.ieee.org/document/8656565
765,8680616,Improved Damage Localization and Quantification of CFRP Using Lamb Waves and Convolution Neural Network,Chenhui Su,19,14,orig-research,2019,2019,N,10.1109/JSEN.2019.2908838,634,666,1300,53,0,53,,Carbon;Composite materials;Convolution;Finite element analysis;Neural networks;Optical fiber networks;Sensors,https://ieeexplore.ieee.org/document/8680616
765,9551935,Development of a Flexible Wireless ECG Monitoring Device With Dry Fabric Electrodes for Wearable Applications,Simin Masihi,22,12,orig-research,2021,2022,N,10.1109/JSEN.2021.3116215,708,592,1300,13,0,13,,Electrocardiography;Electrodes;Fabrics;Monitoring;Sensors;Skin;Wireless sensor networks,https://ieeexplore.ieee.org/document/9551935
766,8788548,Battery-Less Smart Diaper Based on NFC Technology,Antonio Lazaro,19,22,orig-research,2019,2019,N,10.1109/JSEN.2019.2933289,677,622,1299,17,0,17,,Capacitance;Electrodes;Microcontrollers;Moisture;Sensors;Skin,https://ieeexplore.ieee.org/document/8788548
766,8957518,Impact Assessment of Various IMU Error Sources on the Relative Accuracy of the GNSS/INS Systems,Quan Zhang,20,9,orig-research,2020,2020,N,10.1109/JSEN.2020.2966379,673,626,1299,29,0,29,,Global navigation satellite system;Kalman filters;Mathematical model;Measurement uncertainty;Position measurement;Vehicle dynamics,https://ieeexplore.ieee.org/document/8957518
767,9106395,A 0.39?3.56-?W Wide-Dynamic-Range Universal Multi-Sensor Interface Circuit,Mohammad Mehdi Moayer,20,20,orig-research,2020,2020,Y,10.1109/JSEN.2020.2999332,783,515,1298,5,0,5,,Capacitance;Capacitive sensors;Intelligent sensors;Power demand;Sensor phenomena and characterization;Transistors,https://ieeexplore.ieee.org/document/9106395
768,9039560,Classification of Atrial Fibrillation and Acute Decompensated Heart Failure Using Smartphone Mechanocardiography: A Multilabel Learning Approach,Saeed Mehrang,20,14,orig-research,2020,2020,Y,10.1109/JSEN.2020.2981334,658,639,1297,17,0,17,,Electrocardiography;Feature extraction;Hafnium;Heart;Hospitals;Sensor phenomena and characterization,https://ieeexplore.ieee.org/document/9039560
768,9285308,P3-LOAM: PPP/LiDAR Loosely Coupled SLAM With Accurate Covariance Estimation and Robust RAIM in Urban Canyon Environment,Tao Li,21,5,orig-research,2020,2021,N,10.1109/JSEN.2020.3042968,674,623,1297,26,0,26,,Earth;Global navigation satellite system;Laser radar;Sensors;Simultaneous localization and mapping;Three-dimensional displays;Two dimensional displays,https://ieeexplore.ieee.org/document/9285308
770,8990081,EDDD: Event-Based Drowsiness Driving Detection Through Facial Motion Analysis With Neuromorphic Vision Sensor,Guang Chen,20,11,orig-research,2020,2020,N,10.1109/JSEN.2020.2973049,665,628,1293,28,0,28,,Cameras;Feature extraction;Mouth;Neuromorphics;Streaming media;Vehicles;Vision sensors,https://ieeexplore.ieee.org/document/8990081
770,8825854,Paper-Based Electronics Using Graphite and Silver Nanoparticles for Respiration Monitoring,Vivekananthan Balakrishnan,19,24,orig-research,2019,2019,N,10.1109/JSEN.2019.2939567,627,666,1293,28,0,28,,Graphite;Humidity;Monitoring;Nanoparticles;Sensors;Silver;Substrates,https://ieeexplore.ieee.org/document/8825854
771,8573835,Convolutional Neural Network With Second-Order Pooling for Underwater Target Classification,Xu Cao,19,8,orig-research,2018,2019,N,10.1109/JSEN.2018.2886368,691,601,1292,38,0,38,,Acoustics;Computer architecture;Convolutional neural networks;Correlation;Feature extraction;Time-frequency analysis;Transforms,https://ieeexplore.ieee.org/document/8573835
771,8259268,A Delay-Bounded MAC Protocol for Mission- and Time-Critical Applications in Industrial Wireless Sensor Networks,Hossam Farag,18,6,orig-research,2018,2018,N,10.1109/JSEN.2018.2793946,749,543,1292,40,0,40,,Delays;Media Access Protocol;Safety;Sensors;Time factors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8259268
772,8357566,Multicomponent Olfactory Display Using Solenoid Valves and SAW Atomizer and its Blending-Capability Evaluation,Takamichi Nakamoto,18,13,orig-research,2018,2018,Y,10.1109/JSEN.2018.2834953,702,589,1291,11,1,12,,Electron tubes;Liquids;Olfactory;Reservoirs;Solenoids;Surface acoustic wave devices;Valves,https://ieeexplore.ieee.org/document/8357566
772,8268114,A Novel Array-Based Spoofing and Jamming Suppression Method for GNSS Receiver,Yanfeng Hu,18,7,orig-research,2018,2018,N,10.1109/JSEN.2018.2797309,713,578,1291,44,0,44,,Array signal processing;Global Positioning System;Global navigation satellite system;Interference;Jamming;Receivers;Sensor arrays,https://ieeexplore.ieee.org/document/8268114
772,9187644,American Sign Language Recognition Using RF Sensing,Sevgi Z. Gurbuz,21,3,orig-research,2020,2021,N,10.1109/JSEN.2020.3022376,647,644,1291,29,0,29,,Assistive technology;Auditory system;Electronic mail;Gesture recognition;Linguistics;Radio frequency;Sensors,https://ieeexplore.ieee.org/document/9187644
775,9360815,A Multi-Input and Multi-Task Convolutional Neural Network for Fault Diagnosis Based on Bearing Vibration Signal,Yang Wang,21,9,orig-research,2021,2021,N,10.1109/JSEN.2021.3061595,598,690,1288,38,0,38,,Continuous wavelet transforms;Convolution;Deep learning;Fault diagnosis;Feature extraction;Sensors;Task analysis,https://ieeexplore.ieee.org/document/9360815
775,9327468,Anomalies Detection Through Smartphone Sensors: A Review,Moez Krichen,21,6,orig-research,2021,2021,N,10.1109/JSEN.2021.3051931,654,634,1288,30,0,30,,Agriculture;Magnetic sensors;Monitoring;Pollution measurement;Sensor systems;Sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/9327468
777,9668945,Multi-Modal Physiological Signals Based Squeeze-and-Excitation Network With Domain Adversarial Learning for Sleep Staging,Ziyu Jia,22,4,orig-research,2022,2022,N,10.1109/JSEN.2022.3140383,601,685,1286,27,0,27,,Adversarial machine learning;Brain modeling;Electroencephalography;Electrooculography;Feature extraction;Physiology;Sleep,https://ieeexplore.ieee.org/document/9668945
777,8358691,A Hall Sensor-Based Position Measurement With On-Line Model Parameters Computation for Permanent Magnet Synchronous Linear Motor,Shengwu Du,18,13,orig-research,2018,2018,N,10.1109/JSEN.2018.2836218,724,562,1286,26,0,26,,Computational modeling;Magnetic sensors;Permanent magnet motors;Position measurement;Semiconductor device measurement;Sensor arrays,https://ieeexplore.ieee.org/document/8358691
777,8302889,A $64.8~\mu$ W > 2.2 G $\Omega$ DC?AC Configurable CMOS Front-End IC for Wearable ECG Monitoring,Wenbin Bai,18,8,orig-research,2018,2018,N,10.1109/JSEN.2018.2809678,810,476,1286,19,0,19,,Biomedical monitoring;Electrocardiography;Electrodes;Electronics packaging;Impedance;Integrated circuits;Monitoring,https://ieeexplore.ieee.org/document/8302889
778,9018231,Modeling and Characterization of a Pull-in Free MEMS Microphone,Mehmet Ozdogan,20,12,orig-research,2020,2020,N,10.1109/JSEN.2020.2976527,606,679,1285,23,0,23,,Electrodes;Force;Micromechanical devices;Microphones;Sensitivity;Sensors;Voltage measurement,https://ieeexplore.ieee.org/document/9018231
778,9117025,Screen-Printed Strain Gauge for Micro-Strain Detection Applications,Arnesh K. Bose,20,21,orig-research,2020,2020,N,10.1109/JSEN.2020.3002388,556,729,1285,30,0,30,,Fabrication;Ink;Printing;Sensors;Silver;Strain measurement;Substrates,https://ieeexplore.ieee.org/document/9117025
778,9052740,Non-Invasive Fluidic Glucose Detection Based on Dual Microwave Complementary Split Ring Resonators With a Switching Circuit for Environmental Effect Elimination,Chorom Jang,20,15,orig-research,2020,2020,N,10.1109/JSEN.2020.2984779,741,544,1285,50,0,50,,Blood;Glucose;Humidity;Permittivity;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/9052740
778,8933523,A Flexible Touch-Sensing Sensor Based on the Theory of Non-Uniform Gradient Potential Distribution,Jinhua Ye,20,7,orig-research,2019,2020,N,10.1109/JSEN.2019.2960204,647,638,1285,3,0,3,,Electric potential;Electrodes;Robot kinematics;Tactile sensors,https://ieeexplore.ieee.org/document/8933523
779,9433571,Principle and Application State of Fully Distributed Fiber Optic Vibration Detection Technology Based on ?-OTDR: A Review,Tabi Fouda Bernard Marie,21,15,orig-research,2021,2021,N,10.1109/JSEN.2021.3081459,615,669,1284,17,0,17,,Optical fiber amplifiers;Optical fiber polarization;Optical fiber sensors;Optical fibers;Optical sensors;Sensors;Vibrations,https://ieeexplore.ieee.org/document/9433571
779,9216078,Body Dust: Well Beyond Wearable and Implantable Sensors,Sandro Carrara,21,11,orig-research,2020,2021,N,10.1109/JSEN.2020.3029432,724,560,1284,15,0,15,,Biomedical monitoring;Biosensors;Intelligent sensors;Monitoring;Optical sensors;Wearable sensors,https://ieeexplore.ieee.org/document/9216078
780,9509447,Tutorial: A Versatile Bio-Inspired System for Processing and Transmission of Muscular Information,Fabio Rossi,21,20,tutorial,2021,2021,Y,10.1109/JSEN.2021.3103608,564,719,1283,9,0,9,,Biomedical monitoring;Feature extraction;Force;Monitoring;Muscles;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/9509447
780,9646921,Towards Robust Blood Pressure Estimation From Pulse Wave Velocity Measured by Photoplethysmography Sensors,Richard Byfield,22,3,orig-research,2021,2022,N,10.1109/JSEN.2021.3134890,626,657,1283,8,0,8,,Blood;Electrocardiography;Feature extraction;Monitoring;Pressure measurement;Pulse measurements;Sensors,https://ieeexplore.ieee.org/document/9646921
781,8830465,Accurate Empirical Path-Loss Model Based on Particle Swarm Optimization for Wireless Sensor Networks in Smart Agriculture,Haider Mahmood Jawad,20,1,orig-research,2019,2020,N,10.1109/JSEN.2019.2940186,674,608,1282,71,0,71,,Agriculture;Attenuation;Loss measurement;Mathematical model;Sensors;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/8830465
782,9740662,Designs of Compliant Mechanism-Based Force Sensors: A Review,Jinqiang Gan,22,9,orig-research,2022,2022,N,10.1109/JSEN.2022.3161963,633,648,1281,12,0,12,,Force;Force measurement;Force sensors;Manufacturing processes;Robot sensing systems;Sensors;Strain,https://ieeexplore.ieee.org/document/9740662
783,8262647,A Game Theoretic Optimization of RPL for Mobile Internet of Things Applications,Harith Kharrufa,18,6,orig-research,2018,2018,N,10.1109/JSEN.2018.2794762,768,512,1280,52,0,52,,Games;Measurement;Mobile nodes;Protocols;Routing,https://ieeexplore.ieee.org/document/8262647
783,9222158,A 64 � 64 SPAD Flash LIDAR Sensor Using a Triple Integration Timing Technique With 1.95 mm Depth Resolution,Daniel Morrison,21,10,orig-research,2020,2021,N,10.1109/JSEN.2020.3030788,828,452,1280,14,0,14,,Clocks;Delays;Laser radar;Photonics;Single-photon avalanche diodes,https://ieeexplore.ieee.org/document/9222158
784,8251720,Building Novel VHF-Based Wireless Sensor Networks for the Internet of Marine Things,Rabab Al-Zaidi,18,5,orig-research,2018,2018,N,10.1109/JSEN.2018.2791487,773,506,1279,36,0,36,,5G mobile communication;Ad hoc networks;Marine vehicles;Ocean temperature;Sensors;Wireless sensor networks,https://ieeexplore.ieee.org/document/8251720
784,8581441,A Wide-Range and High-Resolution Detection Circuit for MEMS Gas Sensor,Minqiang Chen,19,8,orig-research,2018,2019,N,10.1109/JSEN.2018.2888557,613,666,1279,17,0,17,,Electrical resistance measurement;Gas detectors;Micromechanical devices;Resistance;Semiconductor device measurement;Voltage measurement,https://ieeexplore.ieee.org/document/8581441
787,8880689,Textile-Based Stretchable and Flexible Glove Sensor for Monitoring Upper Extremity Prosthesis Functions,Jae Sang Heo,20,4,orig-research,2019,2020,N,10.1109/JSEN.2019.2949177,667,609,1276,25,0,25,,Coatings;Fabrics;Films;Sensor phenomena and characterization;Strain;Substrates,https://ieeexplore.ieee.org/document/8880689
787,8649579,Low Cost Paper-Based LC Wireless Humidity Sensors and Distance-Insensitive Readout System,Ming-Zhu Xie,19,12,orig-research,2019,2019,N,10.1109/JSEN.2019.2901004,646,630,1276,32,0,32,,Capacitance;Humidity;Inductance;Printing;Resonant frequency;Sensors;Spirals,https://ieeexplore.ieee.org/document/8649579
788,9530538,Portable Tools for COVID-19 Point-of-Care Detection: A Review,Elga F. Saki,21,21,orig-research,2021,2021,N,10.1109/JSEN.2021.3110857,630,645,1275,3,0,3,,Biosensors;COVID-19;Coronaviruses;Point of care;Protocols;Sensitivity;Sensors;Tongue;Tools;Tutorials,https://ieeexplore.ieee.org/document/9530538
789,9344806,A Review of CMOS Electrochemical Readout Interface Designs for Biomedical Assays,Shao-Yung Lu,21,11,orig-research,2021,2021,N,10.1109/JSEN.2021.3056443,670,604,1274,13,0,13,,Blood;Electric potential;Electrodes;Fluids;Glucose;Gold;Sensors,https://ieeexplore.ieee.org/document/9344806
790,8801882,3D Printing of All-Glass Fiber-Optic Pressure Sensor for High Temperature Applications,Qi Zhang,19,23,orig-research,2019,2019,N,10.1109/JSEN.2019.2935689,638,635,1273,21,0,21,,Electron tubes;Optical sensors;Printing;Radiation effects;Temperature sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/8801882
790,9067040,Wearable Multifunction Sensor for the Detection of Forehead EEG Signal and Sweat Rate on Skin Simultaneously,Kun-Peng Gao,20,18,orig-research,2020,2020,N,10.1109/JSEN.2020.2987969,579,694,1273,21,0,21,,Adaptation models;Companies;Cost function;Economics;Linear programming;Production,https://ieeexplore.ieee.org/document/9067040
791,8713490,Odor Discrimination Using Cell-Based Odor Biosensor System With Fluorescent Image Processing,Yuji Sukekawa,19,17,orig-research,2019,2019,Y,10.1109/JSEN.2019.2916377,663,609,1272,12,0,12,,Biosensors;Fluorescence;Image sensors;Olfactory;Receptor (biochemistry);Sensor systems,https://ieeexplore.ieee.org/document/8713490
792,9430501,Human Activity Recognition With Accelerometer and Gyroscope: A Data Fusion Approach,Mitchell Webber,21,15,orig-research,2021,2021,N,10.1109/JSEN.2021.3079883,605,666,1271,26,0,26,,Accelerometers;Data integration;Gyroscopes;Intelligent sensors;Sensor fusion;Sensors;Wearable sensors,https://ieeexplore.ieee.org/document/9430501
793,9336681,Flexible Capacitive Pressure Sensor Based on Laser?Induced Graphene and Polydimethylsiloxane Foam,Lixiong Huang,21,10,orig-research,2021,2021,N,10.1109/JSEN.2021.3054985,621,648,1269,20,0,20,,Electrodes;Fabrication;Graphene;Power lasers;Pressure sensors;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9336681
793,9422758,An mmWave Radar Based Real-Time Contactless Fitness Tracker Using Deep CNNs,Girish Tiwari,21,15,orig-research,2021,2021,N,10.1109/JSEN.2021.3077511,673,596,1269,11,0,11,,Data collection;Radar;Radar antennas;Radar tracking;Real-time systems;Sensors;Tracking,https://ieeexplore.ieee.org/document/9422758
794,8977487,Flexible Iridium Oxide Based pH Sensor Integrated With Inductively Coupled Wireless Transmission System for Wearable Applications,Paul Marsh,20,10,orig-research,2020,2020,N,10.1109/JSEN.2020.2970926,570,698,1268,18,0,18,,Electrodes;Iridium;Probes;Sensitivity;Sensors;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/8977487
794,8413073,Sum-Throughput Maximization in Wireless Sensor Networks With Radio Frequency Energy Harvesting and Backscatter Communication,Jonathan C. Kwan,18,17,orig-research,2018,2018,N,10.1109/JSEN.2018.2857699,793,475,1268,28,0,28,,Backscatter;Energy harvesting;Protocols;Radio frequency;Sensors;Throughput;Wireless sensor networks,https://ieeexplore.ieee.org/document/8413073
795,8746181,An Implantable Antenna With Broadside Radiation for a Brain?Machine Interface,Biswarup Rana,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2924948,743,524,1267,25,0,25,,Antenna measurements;Antennas;Bones;Brain modeling;Magnetic heads;Permittivity;Phantoms,https://ieeexplore.ieee.org/document/8746181
796,8572802,Design and Applications of Soft Sensors in Polymer Processing: A Review,Chamil Abeykoon,19,8,orig-research,2018,2019,N,10.1109/JSEN.2018.2885609,646,620,1266,30,0,30,,Data models;Monitoring;Polymers;Process control;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/8572802
797,9864127,Self-Supervised Monocular Depth Estimation Using Hybrid Transformer Encoder,Seung-Jun Hwang,22,19,orig-research,2022,2022,Y,10.1109/JSEN.2022.3199265,749,516,1265,4,0,4,,Cameras;Computational modeling;Costs;Estimation;Feature extraction;Image reconstruction;Transformers,https://ieeexplore.ieee.org/document/9864127
798,8830389,Upper Body Pose Estimation Using Wearable Inertial Sensors and Multiplicative Kalman Filter,Tommaso Lisini Baldi,20,1,orig-research,2019,2020,N,10.1109/JSEN.2019.2940612,645,619,1264,29,0,29,,Acceleration;Accelerometers;Estimation;Gyroscopes;Quaternions;Wearable sensors,https://ieeexplore.ieee.org/document/8830389
799,9406945,Long Term HbA1c Prediction Using Multi-Stage CGM Data Analysis,Md Shafiqul Islam,21,13,orig-research,2021,2021,Y,10.1109/JSEN.2021.3073974,656,607,1263,7,0,7,,Blood;Diabetes;Estimation;Feature extraction;Glucose;Predictive models;Sensors,https://ieeexplore.ieee.org/document/9406945
800,9274360,Differential Microwave Resonator Sensor for Real-Time Monitoring of Volatile Organic Compounds,Sevda Mohammadi,21,5,orig-research,2020,2021,N,10.1109/JSEN.2020.3041810,680,582,1262,31,0,31,,Dielectrics;Permittivity;Resonant frequency;Sensitivity;Sensors;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/9274360
800,9210547,Data-Driven Shape Sensing of a Surgical Continuum Manipulator Using an Uncalibrated Fiber Bragg Grating Sensor,Shahriar Sefati,21,3,orig-research,2020,2021,N,10.1109/JSEN.2020.3028208,671,591,1262,24,0,24,,Estimation;Fiber gratings;Manipulators;Robot sensing systems;Shape,https://ieeexplore.ieee.org/document/9210547
802,8438986,Deep Learning-Based Obstacle Detection and Classification With Portable Uncalibrated Patterned Light,Maria Cornacchia,18,20,orig-research,2018,2018,N,10.1109/JSEN.2018.2865306,639,621,1260,21,0,21,,Calibration;Cameras;Estimation;Navigation;Robot vision systems;Three-dimensional displays,https://ieeexplore.ieee.org/document/8438986
802,8744606,A New Adaptive Type-II Fuzzy-Based Deep Reinforcement Learning Control: Fuel Cell Air-Feed Sensors Control,Meysam Gheisarnejad,19,20,orig-research,2019,2019,N,10.1109/JSEN.2019.2924726,717,543,1260,35,0,35,,Adaptation models;Atmospheric modeling;Cathodes;Fuel cells;Hydrogen;Reinforcement learning;Tuning,https://ieeexplore.ieee.org/document/8744606
802,8680612,A Graphene-Based Wide-Band MEMS Accelerometer Sensor Dependent on Wavelength Modulation,Mehdi Ahmadian,19,15,orig-research,2019,2019,N,10.1109/JSEN.2019.2908881,659,601,1260,34,0,34,,Accelerometers;Graphene;Mechanical sensors;Micromechanical devices;Optical sensors;Sensor phenomena and characterization,https://ieeexplore.ieee.org/document/8680612
802,8839102,Cost Effective Soil pH Sensor Using Carbon-Based Screen-Printed Electrodes,Mukul Singh,20,1,orig-research,2019,2020,N,10.1109/JSEN.2019.2941695,630,630,1260,15,0,15,,Carbon;Electrodes;Potassium;Sensors;Soil;Soil measurements,https://ieeexplore.ieee.org/document/8839102
803,9184095,A Flexible Capacitive 3D Tactile Sensor With Cross-Shaped Capacitor Plate Pair and Composite Structure Dielectric,Yulu Liu,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.3021010,557,701,1258,19,0,19,,Capacitors;Electrodes;Force;Sensitivity;Tactile sensors,https://ieeexplore.ieee.org/document/9184095
804,9355177,Weld Defect Detection From Imbalanced Radiographic Images Based on Contrast Enhancement Conditional Generative Adversarial Network and Transfer Learning,Runyuan Guo,21,9,orig-research,2021,2021,N,10.1109/JSEN.2021.3059860,611,646,1257,36,0,36,,Data models;Feature extraction;Gallium nitride;Generative adversarial networks;Sensors;Training;Welding,https://ieeexplore.ieee.org/document/9355177
804,8262628,Limit of Detection for Five Common Adulterants in Milk: A Study With Different Fat Percent,Moupali Chakraborty,18,6,orig-research,2018,2018,N,10.1109/JSEN.2018.2794764,664,593,1257,32,0,32,,Chemicals;Dairy products;Fats;Impedance;Impedance measurement;Phase measurement;Sensors,https://ieeexplore.ieee.org/document/8262628
805,8340774,Notice of Removal: Structural Displacement Monitoring Using Smartphone Camera and Digital Image Correlation,Niannian Wang,18,11,orig-research,2018,2018,N,10.1109/JSEN.2018.2828139,671,585,1256,37,0,37,,Bridges;Cameras;Digital images;Force;Monitoring;Sensors;Target tracking,https://ieeexplore.ieee.org/document/8340774
805,8327589,Power Management for Kinetic Energy Harvesting IoT,Qianao Ju,18,10,orig-research,2018,2018,N,10.1109/JSEN.2018.2820644,695,561,1256,29,0,29,,Frequency diversity;Kinetic energy;Power control;Power system management;Resonant frequency;Wireless communication,https://ieeexplore.ieee.org/document/8327589
806,8515281,Average Step Length Estimation Models? Evaluation Using Inertial Sensors: A Review,Melanija Vezo?nik,19,2,orig-research,2018,2019,N,10.1109/JSEN.2018.2878646,632,623,1255,28,0,28,,Acceleration;Estimation;Legged locomotion;Mathematical model;Performance evaluation;Sensors;Smart phones,https://ieeexplore.ieee.org/document/8515281
807,9314169,Multi-Features Capacitive Hand Gesture Recognition Sensor: A Machine Learning Approach,W. K. Wong,21,6,orig-research,2021,2021,N,10.1109/JSEN.2021.3049273,594,660,1254,45,0,45,,Assistive technology;Capacitance;Capacitive sensors;Electrodes;Gesture recognition;Sensors;Support vector machines,https://ieeexplore.ieee.org/document/9314169
808,8306092,Performance Evaluation of Low-Cost Flexible Gas Sensor Array With Nanocomposite Polyaniline Films,Jiri Kroutil,18,9,orig-research,2018,2018,N,10.1109/JSEN.2018.2811461,545,708,1253,24,0,24,,Chemical elements;Gas detectors;Polymers;Sensor arrays;Temperature;Temperature sensors,https://ieeexplore.ieee.org/document/8306092
809,9201071,Deep Learning Approach for Sparse Aperture ISAR Imaging and Autofocusing Based on Complex-Valued ADMM-Net,Ruize Li,21,3,orig-research,2020,2021,N,10.1109/JSEN.2020.3025053,714,538,1252,46,0,46,,Apertures;Azimuth;Image resolution;Imaging;Radar imaging;Sensors,https://ieeexplore.ieee.org/document/9201071
811,8949698,A Novel Cooperative Path Planning for Multirobot Persistent Coverage in Complex Environments,Yuan Tang,20,8,orig-research,2020,2020,N,10.1109/JSEN.2019.2963697,637,613,1250,17,0,17,,Collision avoidance;Path planning;Robot kinematics;Robot sensing systems;Task analysis,https://ieeexplore.ieee.org/document/8949698
812,8624509,Thin Cable Fiber-Optic Hydrophone Array for Passive Acoustic Surveillance Applications,Mikhail Y. Plotnikov,19,9,orig-research,2019,2019,N,10.1109/JSEN.2019.2894323,760,489,1249,36,0,36,,Acoustics;Optical fiber cables;Optical fiber sensors;Optical fibers;Optical interferometry;Sonar equipment,https://ieeexplore.ieee.org/document/8624509
814,10014654,Recent Advances in Thermal Imaging and its Applications Using Machine Learning: A Review,A. N. Wilson,23,4,orig-research,2023,2023,N,10.1109/JSEN.2023.3234335,651,596,1247,7,0,7,,Cameras;Imaging;Machine learning;Optical sensors;Sensors;Temperature sensors;Thermal lensing,https://ieeexplore.ieee.org/document/10014654
817,9772651,Balanced Adaptation Regularization Based Transfer Learning for Unsupervised Cross-Domain Fault Diagnosis,Qin Hu,22,12,orig-research,2022,2022,N,10.1109/JSEN.2022.3174396,601,643,1244,15,0,15,,Employee welfare;Entropy;Fault diagnosis;Feature extraction;Sensors;Transfer learning;Vibrations,https://ieeexplore.ieee.org/document/9772651
818,9118922,Design and Development of Amperometric Gas Sensor With Atomic Au?Polyaniline/Pt Composite,Parthojit Chakraborty,20,21,orig-research,2020,2020,Y,10.1109/JSEN.2020.3002822,640,603,1243,15,0,15,,Atomic layer deposition;Chemical sensors;Electrodes;Gas detectors;Gold;Oxidation,https://ieeexplore.ieee.org/document/9118922
819,9452111,"Cost-Effective, Disposable, Flexible, and Printable MWCNT-Based Wearable Sensor for Human Body Temperature Monitoring",Thiyagarajan K.,22,17,orig-research,2021,2022,N,10.1109/JSEN.2021.3088466,753,489,1242,9,0,9,,Sensors;Silver;Skin;Substrates;Temperature measurement;Temperature sensors;Wearable sensors,https://ieeexplore.ieee.org/document/9452111
820,8691521,Robust Single Accelerometer-Based Activity Recognition Using Modified Recurrence Plot,Jianjie Lu,19,15,orig-research,2019,2019,N,10.1109/JSEN.2019.2911204,652,589,1241,31,0,31,,Accelerometers;Activity recognition;Correlation;Encoding;Hidden Markov models;Time series analysis,https://ieeexplore.ieee.org/document/8691521
